,datetime,name,price,quantity
319,2019-07-31 19:31:00,Chicken Tikka Karahi,9.95,1
320,2019-07-31 19:31:00,Mushroom Bhajee,5.95,1
321,2019-07-31 19:31:00,Plain Rice,2.95,2
322,2019-07-31 19:17:00,Chicken Tikka,3.95,1
323,2019-07-31 19:17:00,Royal Paneer,5.95,1
324,2019-07-31 19:17:00,Garlic Naan,2.95,1
325,2019-07-31 19:17:00,Bottle Diet Coke,2.95,1
326,2019-07-31 19:05:00,Korma - Chicken,8.95,1
327,2019-07-31 19:05:00,Peshwari Naan,2.95,1
328,2019-07-31 19:05:00,Lemon Rice,3.95,1
329,2019-07-31 19:05:00,Mushroom Rice,3.95,1
330,2019-07-31 19:05:00,Lamb Sylhet,9.95,1
331,2019-07-31 19:02:00,Spicy Papadum,0.8,2
332,2019-07-31 19:02:00,Red Sauce,0.5,1
333,2019-07-31 19:02:00,Plain Rice,2.95,1
334,2019-07-31 19:02:00,Dupiaza - Chicken Tikka,8.95,1
335,2019-07-31 19:02:00,Chapati,1.95,1
336,2019-07-31 18:58:00,Saag - Chicken,8.95,1
337,2019-07-31 18:58:00,Saag Paneer,5.95,1
338,2019-07-31 18:58:00,Saag Rice,3.95,1
339,2019-07-31 18:50:00,Sheek Kebab,4.95,1
340,2019-07-31 18:50:00,Plain Papadum,0.8,3
341,2019-07-31 18:50:00,Lamb Tikka Masala,8.95,1
342,2019-07-31 18:50:00,Pilau Rice,2.95,1
343,2019-07-31 18:50:00,Keema Naan,2.95,1
344,2019-07-31 18:50:00,French Fries,3.95,1
345,2019-07-31 17:16:00,Keema Rice,3.95,1
346,2019-07-31 17:16:00,Bombay Aloo,5.95,1
347,2019-07-31 17:16:00,Madras - Lamb,7.95,1
348,2019-07-31 13:55:00,Lamb Biryani,9.95,1
349,2019-07-31 13:55:00,Lamb Tikka Chilli Masala,8.95,1
350,2019-07-31 13:55:00,Garlic Naan,2.95,1
351,2019-07-30 21:05:00,Paneer Tikka Sizzler,9.95,1
352,2019-07-30 21:05:00,Vindaloo Sauce,3.95,1
353,2019-07-30 21:05:00,Plain Rice,2.95,1
354,2019-07-30 21:05:00,French Fries,3.95,1
355,2019-07-30 20:10:00,Chicken Mysore,9.95,1
356,2019-07-30 20:10:00,Garlic Naan,2.95,3
357,2019-07-30 20:10:00,Lamb Chilli Garlic,9.95,1
358,2019-07-30 19:55:00,Aloo Chaat,4.95,1
359,2019-07-30 19:55:00,Tandoori Mixed Grill,11.95,1
360,2019-07-30 19:55:00,Tandoori Roti,2.6,1
361,2019-07-30 18:43:00,King Prawn Puree,5.95,1
362,2019-07-30 18:43:00,Plain Papadum,0.8,1
363,2019-07-30 18:43:00,Chicken Shashlick,9.95,1
364,2019-07-30 18:43:00,Bhindi Bhajee,5.95,1
365,2019-07-30 18:43:00,Dhansak Sauce,3.95,1
366,2019-07-30 18:43:00,Onion Bhajee,3.95,2
367,2019-07-30 18:43:00,Tarka Dall,5.95,1
